network,netmask,nexthop
1.22.204.0,23,200.219.145.23
1.22.204.0,24,200.219.145.45
1.22.204.0,24,200.219.145.23
1.22.205.0,24,200.219.145.45
1.22.205.0,24,200.219.145.23
1.22.206.0,24,200.219.145.45
1.22.206.0,24,200.219.145.23
1.22.207.0,24,200.219.145.45
1.22.207.0,24,200.219.145.23
1.22.208.0,23,200.219.145.45
1.22.208.0,23,200.219.145.23
1.22.208.0,24,200.219.145.45
1.22.208.0,24,200.219.145.23
1.22.209.0,24,200.219.145.45
1.22.209.0,24,200.219.145.23
1.22.210.0,24,200.219.145.45
1.22.210.0,24,200.219.145.23
1.22.212.0,23,200.219.145.45
1.22.212.0,23,200.219.145.23
1.22.212.0,24,200.219.145.45
1.22.212.0,24,200.219.145.23
1.22.213.0,24,200.219.145.45
